,town,address,video
310700011,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, КЛУБ, УЛ.""МАРИЦА""№14",https://evideo.bg/pe202410/31.html#310700011
310700012,С.БОЯНОВО,"С.БОЯНОВО, РИТУАЛНА ЗАЛА,УЛ.""Г.ДИМИТРОВ""№27 /ГЛАСУВАТ И ИЗБИРАТЕЛИ НА С.СТРОЙНО/",https://evideo.bg/pe202410/31.html#310700012
310700013,С.БОРИСОВО,"С.БОРИСОВО, АДМИНИСТРАТИВНА СГРАДА-КЛУБ, УЛ.""ФЕРИЗОВИЧ""№7",https://evideo.bg/pe202410/31.html#310700013
310700014,С.ЖРЕБИНО,"С.ЖРЕБИНО, АДМИНИСТРАТИВНА СГРАДА-КЛУБ, УЛ.""СЛИВНИЦА""№2",https://evideo.bg/pe202410/31.html#310700014
310700015,С.ДОБРИЧ,"С.ДОБРИЧ, КМЕТСТВО, УЛ.""СРЕДЕЦ""№2",https://evideo.bg/pe202410/31.html#310700015
310700016,С.ЧЕРНОЗЕМ,"С.ЧЕРНОЗЕМ, КМЕТСТВО, УЛ.""АЛ.СТАМБОЛИЙСКИ""№7",https://evideo.bg/pe202410/31.html#310700016
310700017,С.МАЛОМИРОВО,"С.МАЛОМИРОВО, ЧИТАЛИЩЕ, УЛ.""Г.ДИМИТРОВ""№28 /ГЛАСУВАТ ИЗБИРАТЕЛИ И НА С.СЛАВЕЙКОВО/",https://evideo.bg/pe202410/31.html#310700017
310700018,С.РАЗДЕЛ,"С.РАЗДЕЛ, ЧИТАЛИЩЕ, УЛ.""Г.ДИМИТРОВ""№1",https://evideo.bg/pe202410/31.html#310700018
310700019,С.ГОЛЯМ ДЕРВЕНТ,"С.ГОЛЯМ ДЕРВЕНТ, АДМИНИСТРАТИВНА СГРАДА, УЛ.""ИНДЖЕ ВОЙВОДА""№1",https://evideo.bg/pe202410/31.html#310700019
310700020,С.ЛАЛКОВО,"С.ЛАЛКОВО, КЛУБ, УЛ.""ГЕОРГИ ДИМИТРОВ""№18",https://evideo.bg/pe202410/31.html#310700020
310700021,С.КИРИЛОВО,"С.КИРИЛОВО, ЧИТАЛИЩЕ, УЛ.""ГЕОРГИ ДИМИТРОВ""№60",https://evideo.bg/pe202410/31.html#310700021
310700022,С.ИЗГРЕВ,"С.ИЗГРЕВ, КЛУБ, УЛ.""ХРИСТО БОТЕВ""№1",https://evideo.bg/pe202410/31.html#310700022
310700023,С.ПЧЕЛА,"С.ПЧЕЛА, КЛУБ, УЛ.""НИКОЛА ДУКОВ""№12",https://evideo.bg/pe202410/31.html#310700023
310700024,С.МАЛЪК МАНАСТИР,"С.МАЛЪК МАНАСТИР, РИТУАЛНА ЗАЛА, УЛ.""Г.ДИМИТРОВ""№11",https://evideo.bg/pe202410/31.html#310700024
310700025,С.ТРЪНКОВО,"С.ТРЪНКОВО, ЧИТАЛИЩЕ, УЛ.""Г.ДИМИТРОВ"" №9",https://evideo.bg/pe202410/31.html#310700025
310700026,С.ГРАНИТОВО,"С.ГРАНИТОВО, РИТУАЛНА ЗАЛА, УЛ.""ДЕВЕТИ СЕПТЕМВРИ""№29А",https://evideo.bg/pe202410/31.html#310700026
310700027,С.МЕЛНИЦА,"С.МЕЛНИЦА, РИТУАЛНА ЗАЛА, УЛ.""ХР.БОТЕВ""№1 /ГЛАСУВАТ И ИЗБИРАТЕЛИ НА С.М.КИРИЛОВО/",https://evideo.bg/pe202410/31.html#310700027
310700028,С.ЛЕСОВО,"С.ЛЕСОВО, РИТУАЛНА ЗАЛА, УЛ.""ДИМИТЪР ПАВЛОВ""№20А",https://evideo.bg/pe202410/31.html#310700028
310700029,С.ВЪЛЧА ПОЛЯНА,"С.ВЪЛЧА ПОЛЯНА, ОСНОВНО УЧИЛИЩЕ, УЛ.""ОПЪЛЧЕНСКА""№8",https://evideo.bg/pe202410/31.html#310700029
312200001,ГР.СТРАЛДЖА,"ГР.СТРАЛДЖА, РИТУАЛНА ЗАЛА, УЛ.""ХЕМУС""№12",https://evideo.bg/pe202410/31.html#312200001
312200002,ГР.СТРАЛДЖА,"ГР.СТРАЛДЖА, ОУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ.""ХЕМУС""№67",https://evideo.bg/pe202410/31.html#312200002
312200003,ГР.СТРАЛДЖА,"ГР.СТРАЛДЖА, ОУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ.""ХЕМУС""№67",https://evideo.bg/pe202410/31.html#312200003
312200004,ГР.СТРАЛДЖА,"ГР.СТРАЛДЖА, ОУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ.""ХЕМУС""№67",https://evideo.bg/pe202410/31.html#312200004
312200005,ГР.СТРАЛДЖА,"ГР.СТРАЛДЖА, СУ""П.К.ЯВОРОВ"", УЛ.""Г.СТАНЧЕВ"" №17А",https://evideo.bg/pe202410/31.html#312200005
312200006,ГР.СТРАЛДЖА,"ГР.СТРАЛДЖА, СУ""П.К.ЯВОРОВ"", УЛ.""Г.СТАНЧЕВ"" №17А",https://evideo.bg/pe202410/31.html#312200006
312200007,ГР.СТРАЛДЖА,"ГР.СТРАЛДЖА, ОУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ.""ХЕМУС""№67",https://evideo.bg/pe202410/31.html#312200007
312200008,С.АЛЕКСАНДРОВО,"С.АЛЕКСАНДРОВО, ЧИТАЛИЩЕ, УЛ.""АЛ.СТАМБОЛИЙСКИ""№63",https://evideo.bg/pe202410/31.html#312200008
312200009,С.АТОЛОВО,"С.АТОЛОВО, ЧИТАЛИЩЕ, УЛ.""ТРАКИЯ"" №2",https://evideo.bg/pe202410/31.html#312200009
312200010,С.БОГОРОВО,"С.БОГОРОВО, УЧИЛИЩЕ, УЛ.""Х.ДИМИТЪР""№17",https://evideo.bg/pe202410/31.html#312200010
312200011,С.ВОДЕНИЧАНЕ,"С.ВОДЕНИЧАНЕ, КМЕТСТВО-РИТУАЛНА ЗАЛА, УЛ.""Г.ДИМИТРОВ""№16",https://evideo.bg/pe202410/31.html#312200011
312200012,С.ВОЙНИКА,"С.ВОЙНИКА, ОУ""ХР.БОТЕВ"" , УЛ.""ВЛ.ИЛ.ЛЕНИН""№48",https://evideo.bg/pe202410/31.html#312200012
