"id","region_name","town","address","video"
"010100001","Благоевград","ГР.БАНСКО","ГР.БАНСКО, СОУ ""НЕОФИТ РИЛСКИ"", УЛ.""ТОДОР АЛЕКСАНДРОВ"" №9Б","https://evideo.bg/pe202410/01.html#10100001"
"010100002","Благоевград","ГР.БАНСКО","ГР.БАНСКО, ПЛТГ""Н.ВАПЦАРОВ"" (ГОРСКИ ТЕХНИКУМ), УЛ.""БЪЛГАРИЯ"" №31","https://evideo.bg/pe202410/01.html#10100002"
"010100003","Благоевград","ГР.БАНСКО","ГР.БАНСКО, ПЛТГ""Н.ВАПЦАРОВ"" (ГОРСКИ ТЕХНИКУМ), УЛ.""БЪЛГАРИЯ"" №31","https://evideo.bg/pe202410/01.html#10100003"
"010100004","Благоевград","ГР.БАНСКО","ГР.БАНСКО, КЛУБ НА ПЕНСИОНЕРА, УЛ.""ЦАР СИМЕОН"" №54","https://evideo.bg/pe202410/01.html#10100004"
"010100005","Благоевград","ГР.БАНСКО","ГР.БАНСКО, ЧИТАЛИЩЕ ""НИКОЛА ВАПЦАРОВ"", ПЛ. ""НИКОЛА ВАПЦАРОВ"" №14","https://evideo.bg/pe202410/01.html#10100005"
"010100006","Благоевград","ГР.БАНСКО","ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"", ПЛ.""ВЪЗРАЖДАНЕ"" №3","https://evideo.bg/pe202410/01.html#10100006"
"010100007","Благоевград","ГР.БАНСКО","ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"", ПЛ.""ВЪЗРАЖДАНЕ"" №3","https://evideo.bg/pe202410/01.html#10100007"
"010100008","Благоевград","ГР.БАНСКО","ГР.БАНСКО, ПЛТГ""Н.ВАПЦАРОВ"" (ГОРСКИ ТЕХНИКУМ), УЛ.""БЪЛГАРИЯ"" №31","https://evideo.bg/pe202410/01.html#10100008"
"010100009","Благоевград","ГР.БАНСКО","ГР.БАНСКО, ПЛТГ""Н.ВАПЦАРОВ"" (ГОРСКИ ТЕХНИКУМ), УЛ.""БЪЛГАРИЯ"" №31","https://evideo.bg/pe202410/01.html#10100009"
"010100010","Благоевград","ГР.БАНСКО","ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"", ПЛ.""ВЪЗРАЖДАНЕ"" №3","https://evideo.bg/pe202410/01.html#10100010"
"010100011","Благоевград","ГР.БАНСКО","ГР.БАНСКО, СОУ ""НЕОФИТ РИЛСКИ"", УЛ. ""ТОДОР АЛЕКСАНДРОВ"" № 9Б","https://evideo.bg/pe202410/01.html#10100011"
"010100012","Благоевград","ГР.БАНСКО","ГР.БАНСКО, СОУ ""НЕОФИТ РИЛСКИ"", УЛ. ""ТОДОР АЛЕКСАНДРОВ"" № 9Б","https://evideo.bg/pe202410/01.html#10100012"
"010100013","Благоевград","ГР.БАНСКО","ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"", ПЛ. ""ВЪЗРАЖДАНЕ"" №3","https://evideo.bg/pe202410/01.html#10100013"
"010100014","Благоевград","ГР.ДОБРИНИЩЕ","ГР.ДОБРИНИЩЕ, ЧИТАЛИЩЕ ""ДИМИТЪР БЛАГОЕВ"" , ПЛ. ""НЕЗАВИСИМОСТ"" № 2","https://evideo.bg/pe202410/01.html#10100014"
"010100015","Благоевград","ГР.ДОБРИНИЩЕ","ГР.ДОБРИНИЩЕ, ОСНОВНО УЧИЛИЩЕ ""СВ. КЛИМЕНТ ОХРИДСКИ"", УЛ. ""ИВАН ГАЛЧЕВ"" №21","https://evideo.bg/pe202410/01.html#10100015"
"010100016","Благоевград","ГР.ДОБРИНИЩЕ","ГР.ДОБРИНИЩЕ, ОСНОВНО УЧИЛИЩЕ ""СВ. КЛИМЕНТ ОХРИДСКИ"", УЛ. ""ИВАН ГАЛЧЕВ"" №21","https://evideo.bg/pe202410/01.html#10100016"
"010100017","Благоевград","ГР.ДОБРИНИЩЕ","ГР.ДОБРИНИЩЕ, КЛУБ НА ПЕНСИОНЕРА, УЛ. ""ТЪРГОВСКА"" № 16","https://evideo.bg/pe202410/01.html#10100017"
"010100018","Благоевград","С.ГОСТУН","С.ГОСТУН, КЛУБ НА ПЕНСИОНЕРА","https://evideo.bg/pe202410/01.html#10100018"
"010100019","Благоевград","С.ОСЕНОВО","С.ОСЕНОВО, КЛУБ НА ПЕНСИОНЕРА","https://evideo.bg/pe202410/01.html#10100019"
"010100020","Благоевград","С.ОБИДИМ","С.ОБИДИМ, КЛУБ НА ПЕНСИОНЕРА","https://evideo.bg/pe202410/01.html#10100020"
"010100021","Благоевград","С.КРЕМЕН","С.КРЕМЕН, КЛУБ НА ПЕНСИОНЕРА","https://evideo.bg/pe202410/01.html#10100021"
"010100022","Благоевград","С.МЕСТА","С.МЕСТА, КЛУБ НА ПЕНСИОНЕРА","https://evideo.bg/pe202410/01.html#10100022"
"010100023","Благоевград","С.ФИЛИПОВО","С.ФИЛИПОВО, КЛУБ НА ПЕНСИОНЕРА","https://evideo.bg/pe202410/01.html#10100023"
"010200001","Благоевград","ГР.БЕЛИЦА","ГР.БЕЛИЦА, ГИМНАЗИЯ ""Н.Й. ВАПЦАРОВ"" , УЛ.""ДИМО ХАДЖИДИМОВ""","https://evideo.bg/pe202410/01.html#10200001"
"010200002","Благоевград","ГР.БЕЛИЦА","ГР.БЕЛИЦА, ГИМНАЗИЯ ""Н.Й. ВАПЦАРОВ"" , УЛ.""ДИМО ХАДЖИДИМОВ""","https://evideo.bg/pe202410/01.html#10200002"
