id,address,address,video
020100041,С.КАРАГЕОРГИЕВО,"С.КАРАГЕОРГИЕВО, ОУ ""КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/02.html#020100041
020100042,С.ПОЛЯНОВО,"С.ПОЛЯНОВО, МЛАДЕЖКИ КЛУБ",https://evideo.bg/pe202410/02.html#020100042
020100043,С.ЧУКАРКА,"С.ЧУКАРКА, ДЕТСКА ГРАДИНА",https://evideo.bg/pe202410/02.html#020100043
020100044,С.ЧЕРНОГРАД,"С.ЧЕРНОГРАД, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/02.html#020100044
020100045,С.РАКЛИНОВО,"С.РАКЛИНОВО, КЛУБ КМЕТСТВО",https://evideo.bg/pe202410/02.html#020100045
020100046,С.ТОПОЛИЦА,"С.ТОПОЛИЦА, ОУ ""СВЕТЛИНА""",https://evideo.bg/pe202410/02.html#020100046
020100048,С.КАРАГЕОРГИЕВО,"С.КАРАГЕОРГИЕВО, ОУ ""КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/02.html#020100048
020100049,С.МЪГЛЕН,"С.МЪГЛЕН, ОУ ""ХРИСТО БОТЕВ""",https://evideo.bg/pe202410/02.html#020100049
020100050,С.ТОПОЛИЦА,"С.ТОПОЛИЦА, ОУ ""СВЕТЛИНА""",https://evideo.bg/pe202410/02.html#020100050
020400001,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400001
020400002,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400002
020400003,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400003
020400004,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400004
020400005,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400005
020400006,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400006
020400007,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400007
020400008,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400008
020400009,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400009
020400010,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400010
020400011,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400011
020400012,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400012
020400013,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400013
020400014,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400014
020400015,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400015
020400016,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""СВ.КНЯЗ БОРИС I""",https://evideo.bg/pe202410/02.html#020400016
020400017,ГР.БУРГАС,"ГР.БУРГАС, ТЪРГОВСКА ГИМНАЗИЯ",https://evideo.bg/pe202410/02.html#020400017
020400018,ГР.БУРГАС,"ГР.БУРГАС, ТЪРГОВСКА ГИМНАЗИЯ",https://evideo.bg/pe202410/02.html#020400018
020400019,ГР.БУРГАС,"ГР.БУРГАС, ТЪРГОВСКА ГИМНАЗИЯ",https://evideo.bg/pe202410/02.html#020400019
