id,town,address,video,,,
010200006,С.КРАИЩЕ,"С.КРАИЩЕ, ДЕТСКА ГРАДИНА, УЛ.""ЕДИНАДЕСЕТА"" №18",https://evideo.bg/pe202410/01.html#10200006,,,010200006
010200007,С.КРАИЩЕ,"С.КРАИЩЕ, МАГ.БИМБ.МАХАЛА-БАРАКИТЕ, УЛ. ""ДВАДЕСЕТ И ПЪРВА"" № 4",https://evideo.bg/pe202410/01.html#10200007,,,010200007
010200008,С.КРАИЩЕ,"С.КРАИЩЕ, ДЕТСКА ГРАДИНА, УЛ.""ЕДИНАДЕСЕТА"" №18",https://evideo.bg/pe202410/01.html#10200008,,,010200008
010200009,С.ГОРНО КРАИЩЕ,"С.ГОРНО КРАИЩЕ, УЧИЛИЩЕ",https://evideo.bg/pe202410/01.html#10200009,,,010200009
010200010,С.ЛЮТОВО,"С.ЛЮТОВО, КМЕТСТВО",https://evideo.bg/pe202410/01.html#10200010,,,010200010
010200011,С.БАБЯК,"С.БАБЯК, УЧИЛИЩЕ",https://evideo.bg/pe202410/01.html#10200011,,,010200011
010200012,С.ГЪЛЪБОВО,"С.ГЪЛЪБОВО, УЧИЛИЩЕ",https://evideo.bg/pe202410/01.html#10200012,,,010200012
010200013,С.КУЗЬОВО,"С.КУЗЬОВО, КМЕТСТВО",https://evideo.bg/pe202410/01.html#10200013,,,010200013
010200014,С.ПАЛАТИК,"С.ПАЛАТИК, УЧИЛИЩЕ",https://evideo.bg/pe202410/01.html#10200014,,,010200014
010200015,С.ЧЕРЕШОВО,"С.ЧЕРЕШОВО, УЧИЛИЩЕ",https://evideo.bg/pe202410/01.html#10200015,,,010200015
010200016,С.ОРЦЕВО,"С.ОРЦЕВО, КМЕТСТВО",https://evideo.bg/pe202410/01.html#10200016,,,010200016
010200017,С.ЗЛАТАРИЦА,"С.ЗЛАТАРИЦА, КМЕТСТВО",https://evideo.bg/pe202410/01.html#10200017,,,010200017
010300001,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ЦЕНТЪР ЗА ЛИЧНОСТНО И ТВОРЧЕСКО РАЗВИТИЕ НА ДЕЦАТА, УЛ.""БИСТРИЦА"" №001",https://evideo.bg/pe202410/01.html#10300001,,,010300001
010300002,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ЦЕНТЪР ЗА ЛИЧНОСТНО И ТВОРЧЕСКО РАЗВИТИЕ НА ДЕЦАТА, УЛ.""БИСТРИЦА"" №001",https://evideo.bg/pe202410/01.html#10300002,,,010300002
010300003,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, СУИЧЕ""СВ. КЛИМЕНТ ОХРИДСКИ"",УЛ.""БРЕГАЛНИЦА"" №002",https://evideo.bg/pe202410/01.html#10300003,,,010300003
010300004,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, СУИЧЕ""СВ. КЛИМЕНТ ОХРИДСКИ"",УЛ.""БРЕГАЛНИЦА"" №002",https://evideo.bg/pe202410/01.html#10300004,,,010300004
010300005,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, СУИЧЕ""СВ. КЛИМЕНТ ОХРИДСКИ"",УЛ.""БРЕГАЛНИЦА"" №002",https://evideo.bg/pe202410/01.html#10300005,,,010300005
