,town,address,video
203100171,С. БРАДВАРИ,"С. БРАДВАРИ, УЛ. Н. П. КАРАДЖАТА 23А, ОУ КИРИЛ И МЕТОДИЙ",https://evideo.bg/pe202410/20.html#203100171
203100172,С. БРАДВАРИ,"С. БРАДВАРИ, УЛ. Н. П. КАРАДЖАТА 23А, ОУ КИРИЛ И МЕТОДИЙ",https://evideo.bg/pe202410/20.html#203100172
203100173,С. БЪЛГАРКА,"С. БЪЛГАРКА, УЛ. ПЪРВА 44, ЧИТАЛИЩЕТО",https://evideo.bg/pe202410/20.html#203100173
203100174,С. ВЕТРЕН,"С. ВЕТРЕН, УЛ. ЗДРАВЕЦ 2, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/20.html#203100174
203100175,С. ГЛАВАН,"С. ГЛАВАН, УЛ. ПЕТА 1, КЛУБ НА ПЕНСИОНЕРА И ИНВАЛИДА",https://evideo.bg/pe202410/20.html#203100175
203100176,С. ЙОРДАНОВО,"С. ЙОРДАНОВО, УЛ. ПЪРВА 6, ЧИТАЛИЩЕТО",https://evideo.bg/pe202410/20.html#203100176
203100177,С. КАЛИПЕТРОВО,"С. КАЛИПЕТРОВО, УЛ. НОВО ПЕТРОВО 65, КЛУБ НА ИНВАЛИДА И ПЕНСИОНЕРА 2 / ЦДГ",https://evideo.bg/pe202410/20.html#203100177
203100178,С. КАЛИПЕТРОВО,"С. КАЛИПЕТРОВО, УЛ. НОВ ЖИВОТ 48, ОУ СВ. СВ. КИРИЛ И МЕТОДИЙ",https://evideo.bg/pe202410/20.html#203100178
203100179,С. КАЛИПЕТРОВО,"С. КАЛИПЕТРОВО, УЛ. РАШКО БЛЪСКОВ 86, ЧИТАЛИЩЕ ПРОБУДА",https://evideo.bg/pe202410/20.html#203100179
203100180,С. КАЛИПЕТРОВО,"С. КАЛИПЕТРОВО, УЛ. РАШКО БЛЪСКОВ 74, КЛУБ НА ПЕНСИОНЕРА 1 - ЦЕНТЪРА",https://evideo.bg/pe202410/20.html#203100180
203100181,С. КАЛИПЕТРОВО,"С. КАЛИПЕТРОВО, УЛ. НОВО ПЕТРОВО 65, КЛУБ НА ИНВАЛИДА И ПЕНСИОНЕРА 2 / ЦДГ ВАСИЛА ВЪЛЧЕВА",https://evideo.bg/pe202410/20.html#203100181
203100182,С. КАЛИПЕТРОВО,"С. КАЛИПЕТРОВО, УЛ. НОВ ЖИВОТ 46, СТАДИОН РАКОВСКИ",https://evideo.bg/pe202410/20.html#203100182
203100183,С. КАЗИМИР,"С. КАЗИМИР, УЛ. ПЪРВА 68, КЛУБ НА ИНВАЛИДА И ПЕНСИОНЕРА",https://evideo.bg/pe202410/20.html#203100183
203100184,С. ЦЕНОВИЧ,"С. ЦЕНОВИЧ, УЛ. ПЪРВА 19, ЧИТАЛИЩЕТО",https://evideo.bg/pe202410/20.html#203100184
203100185,С. ПОЛКОВНИК ЛАМБРИНОВО,"С. ПОЛКОВНИК ЛАМБРИНОВО, УЛ. ПЪРВА 26, ЧИТАЛИЩЕТО",https://evideo.bg/pe202410/20.html#203100185
203100186,С. ПРОФЕСОР ИШИРКОВО,"С. ПРОФЕСОР ИШИРКОВО, УЛ. ГЕОРГИ ДИМИТРОВ 4, ЧИТАЛИЩЕТО",https://evideo.bg/pe202410/20.html#203100186
203100187,С. ПРОФЕСОР ИШИРКОВО,"С. ПРОФЕСОР ИШИРКОВО, УЛ. ГЕОРГИ ДИМИТРОВ 45, СТОЛА НА ЗК НИВА - 93",https://evideo.bg/pe202410/20.html#203100187
203100188,С. ПОПКРАЛЕВО,"С. ПОПКРАЛЕВО, УЛ. ПЪРВА 19, ЧИТАЛИЩЕТО",https://evideo.bg/pe202410/20.html#203100188
203100189,С. СМИЛЕЦ,"С. СМИЛЕЦ, УЛ. ТРЕТА 69, ЧИТАЛИЩЕТО",https://evideo.bg/pe202410/20.html#203100189
203100190,С. СРАЦИМИР,"С. СРАЦИМИР, УЛ. ВТОРА 1, СГРАДА НА ГРАЖДАНСКА ЗАЩИТА",https://evideo.bg/pe202410/20.html#203100190
203100191,С. СРЕБЪРНА,"С. СРЕБЪРНА, УЛ. ДУНАВ 30, ЧИТАЛИЩЕТО",https://evideo.bg/pe202410/20.html#203100191
203100192,С. СЪРПОВО,"С. СЪРПОВО, УЛ. ПЪРВА 30, ЧИТАЛИЩЕТО",https://evideo.bg/pe202410/20.html#203100192
203200601,С. СИТОВО,"С. СИТОВО, УЛ. ТРЕТИ МАРТ 76, НЧ ХРИСТО СМИРНЕНСКИ 1940",https://evideo.bg/pe202410/20.html#203200601
203200602,С. БОСНА,"С. БОСНА, УЛ. ПЪРВА, АВТОСПИРКА",https://evideo.bg/pe202410/20.html#203200602
203200603,С. ГАРВАН,"С. ГАРВАН, УЛ. ПЪРВА 14, НЧ ДИМИТЪР ИВАНОВ ПОЛЯНОВ 1870",https://evideo.bg/pe202410/20.html#203200603
203200604,С. ДОБРОТИЦА,"С. ДОБРОТИЦА, УЛ. ДОБРУДЖА 18, КЛУБ НА ИНВАЛИДА",https://evideo.bg/pe202410/20.html#203200604
203200605,С. ИРНИК,"С. ИРНИК, УЛ. ТРЕТА 3, СГРАДАТА НА КМЕТСТВОТО",https://evideo.bg/pe202410/20.html#203200605
